Автобус,1,23.12.2024,ЖДВ,Травматология,00:55:00,А000АА,
Маршрутка,1,23.12.2024,ЖДВ,Травматология,00:55:00,Г011ДА,
Автобус,2,23.12.2024,Энтузиастов,Школа №73,00:49:00,А001АА,
Автобус,2к,23.12.2024,Энтузиастов,пос. ДОК,00:50:00,О418ТО,
Маршрутка,1к,23.12.2024,ЖДВ,Патрушево,00:50:00,З228РУ,
Маршрутка,3,23.12.2024,Центральный рынок,Дом обороны,00:49:00,С217РИ,
Маршрутка,3,23.12.2024,Центральный рынок,Дом обороны,00:49:00,А552ИЫ,
Маршрутка,4,23.12.2024,Набережная,ЖДВ,00:45:00,Р666БВ,
Автобус,4,26.12.2024,Набережная,ЖДВ,00:45:00,С333БО,Новый маршрут
Автобус,5,23.12.2024,ЖДВ,Рощино,00:55:00,Б888БВ,
Маршрутка,5,23.12.2024,ЖДВ,Рощино,00:55:00,Ы676ЙА,
Автобус,1,23.12.2024,ЖДВ,Травматология,00:55:00,И232ИИ,
Автобус,6,23.12.2024,ДК Строитель,пос. ДОК,00:50:00,М818ПО,
Маршрутка,6,23.12.2024,ДК Строитель,пос. ДОК,00:50:00,К117УА,
Маршрутка,1,23.12.2024,Энтузиастов,Школа №73,00:49:00,С219РИ,
